Title in English,Title in Arabic,Description,Author,Translator,Publishing House,Date of Publishing,Date of Translation,Translator Gender,Country,Source,Book Cover,Author Image,Genre,Traslator Country
Judgment Day,يوم الدين,"Brought up in poverty in a remote part of an unstable Arab republic, the narrator studies Islamic law and Arabic and becomes a cleric and civil servant in the capital. At the age of almost 40 he accepts a position as imam of a mosque serving his compatriots in a richer and more cosmopolitan neighboring Arab country. His humdrum life changes when an educated and independent woman recruits him as consultant for a book on the great tenth-century Arab poet al- Mutanabbi. As their work together on his poetry leads to friendship and then love, the imam becomes embroiled in ideological conflict with activist Islamists at his mosque. Taken into protective custody after his enemies declare him apostate, and separated from the woman he loves, the imam chronicles how their relationship opened his eyes to a new world and taught him to overcome his old inhibitions. Judgment Day touches on debates within contemporary Islam and on the transformative and humanizing power of love between men and women.",Rasha al-Ameer,Jonathan Wright,American University at Cairo,2002,2012,Male,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html?record=114,"https://images-na.ssl-images-amazon.com/images/I/51KCb4xFJeL._SX322_BO1,204,203,200_.jpg",https://pbs.twimg.com/profile_images/2873198357/ca84bb89396fa12275b8b010e3e8f655_400x400.jpeg,fiction,
Hagar Before the Occupation/Hagar After the Occupation,هاجر قبل الاحتلال .. هاجر بعد الاحتلال,"Complementary pairs of poems portray life before and after the war. This work simultaneously mirrors Hagar's desperate running between Safa and Marwah, as we pace frantically between pre- and post-occupation Iraq—the poet begging in vain for poetry not to abandon her people.",Amal al-Jubouri,Rebecca Gayle Howell; Husam Qaisi;,Alice James Books,2008,2011,Both,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html?record=121,"https://images-na.ssl-images-amazon.com/images/I/51fuHxrqaDL._SX316_BO1,204,203,200_.jpg",https://images.squarespace-cdn.com/content/v1/5b6b67d275f9ee38d594b8a5/1541007987934-AJNUYJVFWJHZQE5DAGYK/ke17ZwdGBToddI8pDm48kEdOd4_5XYbEWaOe0N_f8O9Zw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-vJy3mVMom_SwrOWb_saExJ6EXkDR2cfPrZztHROeunHg/Amal_al-Jubouri_GrayScale_ForWeb.jpg,Poetry,
Brooklyn Heights,بروكلين هايتس,"Hind, newly arrived in New York with her eight-year-old son, several suitcases of unfinished manuscripts, and hardly any English, finds a room in a Brooklyn teeming with people like her who dream of becoming writers.",Miral al-Tahawy,Samah Selim,American University at Cairo,2010,2012,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html?record=144,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTXOdKIfhwPtdQRFBOhJCLIuL6JQHn11auQQYL7uy8bp4NaKGU_,https://www.arabicfiction.org/sites/default/files/styles/slide-image/public/Miral%20al-Tahawy.JPG?itok=l5YUM25Z,fiction,
Dove's Necklace,طوق الحمام,"When the body of a young woman is discovered in the Lane of Many Heads, an alley in modern-day Mecca, no one will claim it, as they are all ashamed of her nakedness. As Detective Nasser pursues his investigation of the case, seemingly all of Mecca chimes in―including the Lane of Many Heads itself―in this brilliant, funny, profane, and enigmatic fever dream of a novel by Raja Alem, the first woman to win the International Prize for Arabic Fiction. Nasser initially suspects that the dead woman is Aisha, one of the residents of the Area, and he searches her emails for clues. The world she paints embraces everything from crime and religious extremism to the exploitation of foreign workers by a mafia of building contractors, who are destroying the historic areas of the city. In stark relief with this grimness is the beauty of her love letters to her German boyfriend. Another view reveals the city through the eyes of Yusuf, Aisha's neighbor, increasingly frustrated by the acceleration pace of change. As gripping as classic noir, nuanced as a Nabokov novel, and labyrinthine as the alleys of Mecca itself, this powerful and disturbing work of fiction masterfully reveals a city and a civilization in all its contradictions, at once beholden to brutal customs and uneasily coming to terms with new traditions. Raja Alem's singular The Dove's Necklace is a virtuosic work of literature that deserves the world's attention.",Raja Alem,Katharine Halls,Overlook,2010,2013,Female,Saudi Arabia,https://www.publishersweekly.com/pw/translation/search/index.html?record=163,https://images-na.ssl-images-amazon.com/images/I/81z7SaYaiDL.jpg,http://t1.gstatic.com/licensed-image?q=tbn:ANd9GcTHFdEnZbvBMCUZNiJjV7AoN-F54Mtkwf00-gkqhgqct8nnsfzZi6KiYa-mK_Ow,fiction,
Hend and the Soldiers,هند والعسكر,"Hend is a young Saudi Arabian woman struggling to challenge her conservative society, which is represented by various soldiers, real and metaphorical, in her life. After a failed arranged marriage to an army officer, she is determined to establish herself as a writer and make her own choices in love. Her mother, a firm supporter of their society's traditional norms, works to block her efforts. As Hend engages with her mother, stories of her past and those of other female relatives reveal the extent of the suffering previous generations of women have endured while living in such a patriarchal society. Hend also comes to understand how such traditions have adversely affected the men in her family, including one brother who flees to the West and another who finds comradeship among the members of al-Qaeda.",Badriah Albeshr,Sanna Dhahir,University of Texas,2006,2017,Female,Saudi Arabia,https://www.publishersweekly.com/pw/translation/search/index.html?record=160,"https://images-na.ssl-images-amazon.com/images/I/41a2lmNKDpL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://i.ndtvimg.com/i/2017-11/badriyah-al-bishr-twitter_650x400_41509674760.jpg,fiction,
The Stone of Laughter,,,Hoda Barakat,Sophie Bennet,Interlink Publishing Group,1990,1995,yes,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7OvIris1-ZVY_B7bdBLeoaOBYEzeJaTTZJBOhV-Vl2h-hog6v,,,
The Tiller of Waters,,,Hoda Barakat,Marilyn Booth,American University in Cairo Press,1998,2004,,,,"https://images-na.ssl-images-amazon.com/images/I/51RFoi4jtPL._SX313_BO1,204,203,200_.jpg",,,
Disciples of Passion,,,Hoda Barakat,Marilyn Booth,Syracuse University Press,1999,2005,,,,https://booklife-resized.s3-us-west-1.amazonaws.com/c8bf5ed417c405572b1677c99f8d7405-w204@1x.jpg,,,
Voices of the Lost,,,Hoda Barakat,Marilyn Booth,Yale University Press,2020,2021,,,,"https://images-na.ssl-images-amazon.com/images/I/41ItZf4jbYL._SX310_BO1,204,203,200_.jpg",,,
Sayddi wa Habibi,,Abrdiged in English,Hoda Barakat,Laila Familiar,Georgetown University Press,,2013,,,,"https://images-na.ssl-images-amazon.com/images/I/41CFUPzIKTL._SX326_BO1,204,203,200_.jpg",,,
